label,diagnosis_code,diagnosis_name,support,original_f1,new_f1,delta_f1,original_recall,new_recall,delta_recall,original_precision,new_precision,delta_precision,status
label_10370003,10370003,Unknown - Verify,182,0.937,0.9307,-0.0062,0.9396,0.9231,-0.0165,0.9344,0.9385,0.0041,MAINTAINED
label_106068003,106068003,Unknown - Verify,31,0.6301,0.5714,-0.0587,0.7419,0.7742,0.0323,0.5476,0.4528,-0.0948,DEGRADED
label_111288001,111288001,Unknown - Verify,1,0.25,0.6667,0.4167,1.0,1.0,0.0,0.1429,0.5,0.3571,IMPROVED
label_11157007,11157007,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_111975006,111975006,Prolonged QT Interval,68,0.28,0.2958,0.0158,0.3088,0.3088,0.0,0.2561,0.2838,0.0277,MAINTAINED
label_13640000,13640000,Unknown - Verify,19,0.0952,0.0488,-0.0465,0.1579,0.0526,-0.1053,0.0682,0.0455,-0.0227,DEGRADED
label_164865005,164865005,Unknown - Verify,18,0.3019,0.4103,0.1084,0.4444,0.4444,0.0,0.2286,0.381,0.1524,IMPROVED
label_164873001,164873001,Unknown - Verify,119,0.4163,0.3956,-0.0207,0.4286,0.3025,-0.1261,0.4048,0.5714,0.1667,DEGRADED
label_164889003,164889003,Atrial Fibrillation,273,0.3472,0.3439,-0.0034,0.9451,0.9158,-0.0293,0.2127,0.2117,-0.001,MAINTAINED
label_164890007,164890007,Atrial Flutter,1248,0.8572,0.8617,0.0045,0.9383,0.9487,0.0104,0.7891,0.7893,0.0002,MAINTAINED
label_164896001,164896001,Unknown - Verify,8,0.6364,0.7778,0.1414,0.875,0.875,0.0,0.5,0.7,0.2,IMPROVED
label_164909002,164909002,Left Bundle Branch Block,37,0.3023,0.2989,-0.0035,0.3514,0.3514,0.0,0.2653,0.26,-0.0053,MAINTAINED
label_164912004,164912004,Unknown - Verify,25,0.1644,0.2154,0.051,0.24,0.28,0.04,0.125,0.175,0.05,IMPROVED
label_164917005,164917005,Q Wave Abnormal,178,0.5598,0.5902,0.0304,0.6573,0.7079,0.0506,0.4875,0.506,0.0185,IMPROVED
label_164930006,164930006,Unknown - Verify,131,0.408,0.3882,-0.0198,0.4656,0.5038,0.0382,0.3631,0.3158,-0.0473,MAINTAINED
label_164931005,164931005,Unknown - Verify,25,0.1538,0.1154,-0.0385,0.2,0.12,-0.08,0.125,0.1111,-0.0139,DEGRADED
label_164934002,164934002,T Wave Abnormal,1053,0.6472,0.6528,0.0056,0.7464,0.7151,-0.0313,0.5712,0.6005,0.0293,MAINTAINED
label_164937009,164937009,Unknown - Verify,25,0.1346,0.0938,-0.0409,0.28,0.12,-0.16,0.0886,0.0769,-0.0117,DEGRADED
label_164942001,164942001,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_164947007,164947007,Prolonged PR Interval,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_17338001,17338001,Ventricular Premature Beats,40,0.2514,0.2514,0.0,0.55,0.55,0.0,0.163,0.163,0.0,MAINTAINED
label_17366009,17366009,Unknown - Verify,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
