label,TN,FP,FN,TP
label_10370003,6401,190,24,158
label_106068003,6742,0,31,0
label_111288001,6764,8,1,0
label_11157007,6773,0,0,0
label_111975006,6680,25,65,3
label_13640000,6691,63,11,8
label_164865005,6712,43,9,9
label_164873001,6173,481,29,90
label_164889003,5220,1280,32,241
label_164890007,4662,863,45,1203
label_164896001,6746,19,0,8
label_164909002,6560,176,6,31
label_164912004,6676,72,24,1
label_164917005,5741,854,17,161
label_164930006,5984,658,38,93
label_164931005,6703,45,21,4
label_164934002,4436,1284,172,881
label_164937009,6726,22,24,1
label_164942001,6773,0,0,0
label_164947007,6766,0,7,0
label_17338001,6618,115,29,11
label_17366009,6772,0,1,0
label_195042002,6761,3,9,0
label_195060002,6770,2,1,0
label_195101003,6773,0,0,0
label_233892002,6769,0,4,0
label_233897008,6769,0,4,0
label_233917008,6665,71,28,9
label_251120003,6771,0,2,0
label_251146004,5862,765,52,94
label_251164006,6770,0,3,0
label_251166008,6768,3,1,1
label_251170000,6764,0,9,0
label_251173003,6772,0,1,0
label_251180001,6773,0,0,0
label_251187003,6772,0,1,0
label_251198002,6699,63,4,7
label_251199005,6651,88,12,22
label_251205003,6754,2,17,0
label_251223006,6572,169,11,21
label_270492004,5737,864,77,95
label_27885002,6694,66,10,3
label_284470004,6188,393,137,55
label_29320008,6662,89,14,8
label_365413008,6123,547,13,90
label_39732003,6056,465,10,242
label_418818005,6773,0,0,0
label_425856008,6700,62,5,6
label_426177001,3718,612,78,2365
label_426183003,6771,0,2,0
label_426627000,6771,0,2,0
label_426648003,6769,0,4,0
label_426664006,6770,0,3,0
label_426761007,6438,227,11,97
label_426783006,4165,1367,230,1011
label_426995002,6756,8,9,0
label_427084000,5276,455,96,946
label_427172004,6172,446,45,110
label_427393009,5561,839,180,193
label_428417006,6449,269,17,38
label_428750005,5943,656,59,115
label_429622005,5764,740,43,226
label_445118002,6512,206,5,50
label_445211001,6771,0,2,0
label_446358003,6764,2,3,4
label_446813000,6770,0,3,0
label_47665007,6347,297,11,118
label_49578007,6772,0,1,0
label_50799005,6693,76,1,3
label_54016002,6768,0,5,0
label_54329005,6712,53,5,3
label_55827005,4621,1348,223,581
label_55930002,4898,1222,108,545
label_5609005,6757,8,6,2
label_57054005,6737,22,7,7
label_59118001,6445,238,5,85
label_59931005,4899,1410,38,426
label_61277005,6760,10,2,1
label_61721007,6220,464,23,66
label_63593006,6773,0,0,0
label_6374002,6518,192,26,37
label_65778007,6772,0,1,0
label_67741000119109,6773,0,0,0
label_67751000119106,6770,0,3,0
label_698252002,6166,488,72,47
label_713422000,6613,115,39,6
label_713426002,6364,367,8,34
label_713427006,6382,246,1,144
label_733534002,6682,48,2,41
label_74390002,6734,32,4,3
label_75532003,6750,16,5,2
label_77867006,6771,0,2,0
label_81898007,6724,37,2,10
label_89792004,6708,45,2,18
