label,TN,FP,FN,TP
label_10370003,6568,23,50,132
label_106068003,6717,25,25,6
label_111288001,6744,28,1,0
label_11157007,6767,6,0,0
label_111975006,6375,330,48,20
label_13640000,6662,92,9,10
label_164865005,6717,38,10,8
label_164873001,6488,166,55,64
label_164889003,5220,1280,32,241
label_164890007,4950,575,145,1103
label_164896001,6749,16,0,8
label_164909002,6647,89,15,22
label_164912004,6624,124,21,4
label_164917005,6518,77,101,77
label_164930006,6520,122,77,54
label_164931005,6690,58,21,4
label_164934002,5094,626,382,671
label_164937009,6663,85,23,2
label_164942001,6773,0,0,0
label_164947007,6730,36,7,0
label_17338001,6673,60,30,10
label_17366009,6772,0,1,0
label_195042002,6679,85,8,1
label_195060002,6750,22,1,0
label_195101003,6773,0,0,0
label_233892002,6769,0,4,0
label_233897008,6761,8,4,0
label_233917008,6665,71,28,9
label_251120003,6770,1,2,0
label_251146004,6386,241,101,45
label_251164006,6770,0,3,0
label_251166008,6737,34,0,2
label_251170000,6596,168,8,1
label_251173003,6772,0,1,0
label_251180001,6764,9,0,0
label_251187003,6771,1,1,0
label_251198002,6731,31,6,5
label_251199005,6612,127,10,24
label_251205003,6744,12,17,0
label_251223006,6705,36,25,7
label_270492004,6161,440,115,57
label_27885002,6737,23,11,2
label_284470004,6188,393,137,55
label_29320008,6640,111,14,8
label_365413008,6524,146,70,33
label_39732003,6307,214,49,203
label_418818005,6773,0,0,0
label_425856008,6754,8,9,2
label_426177001,3958,372,178,2265
label_426183003,6769,2,2,0
label_426627000,6770,1,2,0
label_426648003,6734,35,4,0
label_426664006,6764,6,3,0
label_426761007,6638,27,58,50
label_426783006,4806,726,429,812
label_426995002,6699,65,7,2
label_427084000,5483,248,169,873
label_427172004,6471,147,85,70
label_427393009,6019,381,225,148
label_428417006,6657,61,38,17
label_428750005,6308,291,115,59
label_429622005,6197,307,102,167
label_445118002,6640,78,16,39
label_445211001,6770,1,2,0
label_446358003,6764,2,3,4
label_446813000,6770,0,3,0
label_47665007,6577,67,56,73
label_49578007,6772,0,1,0
label_50799005,6708,61,1,3
label_54016002,6766,2,5,0
label_54329005,6758,7,6,2
label_55827005,5405,564,424,380
label_55930002,5648,472,275,378
label_5609005,6764,1,8,0
label_57054005,6756,3,12,2
label_59118001,6488,195,6,84
label_59931005,5869,440,189,275
label_61277005,6763,7,2,1
label_61721007,6568,116,61,28
label_63593006,6764,9,0,0
label_6374002,6603,107,34,29
label_65778007,6771,1,1,0
label_67741000119109,6773,0,0,0
label_67751000119106,6770,0,3,0
label_698252002,6295,359,82,37
label_713422000,6643,85,39,6
label_713426002,6674,57,27,15
label_713427006,6513,115,12,133
label_733534002,6710,20,11,32
label_74390002,6689,77,4,3
label_75532003,6761,5,6,1
label_77867006,6771,0,2,0
label_81898007,6746,15,4,8
label_89792004,6677,76,2,18
