,precision,recall,f1-score,support
label_10370003,0.9293478260869565,0.9395604395604396,0.9344262295081968,182.0
label_106068003,0.42857142857142855,0.7741935483870968,0.5517241379310345,31.0
label_111288001,1.0,1.0,1.0,1.0
label_11157007,0.0,0.0,0.0,0.0
label_111975006,0.36363636363636365,0.11764705882352941,0.17777777777777778,68.0
label_13640000,0.07142857142857142,0.2631578947368421,0.11235955056179775,19.0
label_164865005,0.13043478260869565,0.16666666666666666,0.14634146341463414,18.0
label_164873001,0.4473684210526316,0.42857142857142855,0.43776824034334766,119.0
label_164889003,0.2814070351758794,0.20512820512820512,0.23728813559322035,273.0
label_164890007,0.7848011363636364,0.8854166666666666,0.8320783132530121,1248.0
label_164896001,0.5833333333333334,0.875,0.7,8.0
label_164909002,0.25333333333333335,0.5135135135135135,0.3392857142857143,37.0
label_164912004,0.2608695652173913,0.24,0.25,25.0
label_164917005,0.4675925925925926,0.5674157303370787,0.5126903553299492,178.0
label_164930006,0.37398373983739835,0.3511450381679389,0.36220472440944884,131.0
label_164931005,0.09523809523809523,0.08,0.08695652173913043,25.0
label_164934002,0.6724137931034483,0.5185185185185185,0.5855227882037534,1053.0
label_164937009,0.0,0.0,0.0,25.0
label_164942001,0.0,0.0,0.0,0.0
label_164947007,0.0,0.0,0.0,7.0
label_17338001,0.16666666666666666,0.2,0.18181818181818182,40.0
label_17366009,0.0,0.0,0.0,1.0
label_195042002,0.1,0.1111111111111111,0.10526315789473684,9.0
label_195060002,0.0,0.0,0.0,1.0
label_195101003,0.0,0.0,0.0,0.0
label_233892002,0.16666666666666666,0.25,0.2,4.0
label_233897008,0.0,0.0,0.0,4.0
label_233917008,0.2222222222222222,0.21621621621621623,0.2191780821917808,37.0
label_251120003,0.0,0.0,0.0,2.0
label_251146004,0.3157894736842105,0.2054794520547945,0.24896265560165975,146.0
label_251164006,0.0,0.0,0.0,3.0
label_251166008,0.0,0.0,0.0,2.0
label_251170000,0.0,0.0,0.0,9.0
label_251173003,0.0,0.0,0.0,1.0
label_251180001,0.0,0.0,0.0,0.0
label_251187003,0.0,0.0,0.0,1.0
label_251198002,0.5,0.18181818181818182,0.26666666666666666,11.0
label_251199005,0.08333333333333333,0.029411764705882353,0.043478260869565216,34.0
label_251205003,0.15,0.17647058823529413,0.16216216216216217,17.0
label_251223006,0.2391304347826087,0.34375,0.28205128205128205,32.0
label_270492004,0.6390243902439025,0.7616279069767442,0.6949602122015915,172.0
label_27885002,0.21052631578947367,0.3076923076923077,0.25,13.0
label_284470004,0.2559241706161137,0.28125,0.2679900744416873,192.0
label_29320008,0.21212121212121213,0.3181818181818182,0.2545454545454545,22.0
label_365413008,0.208955223880597,0.4077669902912621,0.27631578947368424,103.0
label_39732003,0.547550432276657,0.753968253968254,0.6343906510851419,252.0
label_418818005,0.0,0.0,0.0,0.0
label_425856008,0.25,0.18181818181818182,0.21052631578947367,11.0
label_426177001,0.9675555555555555,0.8911174785100286,0.9277647560196036,2443.0
label_426183003,0.0,0.0,0.0,2.0
label_426627000,0.0,0.0,0.0,2.0
label_426648003,0.0,0.0,0.0,4.0
label_426664006,0.0,0.0,0.0,3.0
label_426761007,0.7610619469026548,0.7962962962962963,0.7782805429864253,108.0
label_426783006,0.8817946505608283,0.8235294117647058,0.8516666666666667,1241.0
label_426995002,0.0,0.0,0.0,9.0
label_427084000,0.9467980295566503,0.9222648752399232,0.9343704423918328,1042.0
label_427172004,0.5333333333333333,0.6193548387096774,0.573134328358209,155.0
label_427393009,0.5291479820627802,0.3163538873994638,0.3959731543624161,373.0
label_428417006,0.3333333333333333,0.2,0.25,55.0
label_428750005,0.12149532710280374,0.07471264367816093,0.09252669039145907,174.0
label_429622005,0.3645621181262729,0.6654275092936803,0.4710526315789474,269.0
label_445118002,0.3838383838383838,0.6909090909090909,0.4935064935064935,55.0
label_445211001,0.0,0.0,0.0,2.0
label_446358003,0.75,0.42857142857142855,0.5454545454545454,7.0
label_446813000,0.0,0.0,0.0,3.0
label_47665007,0.5769230769230769,0.5813953488372093,0.5791505791505791,129.0
label_49578007,0.0,0.0,0.0,1.0
label_50799005,0.0,0.0,0.0,4.0
label_54016002,0.0,0.0,0.0,5.0
label_54329005,0.1875,0.375,0.25,8.0
label_55827005,0.45512010113780027,0.44776119402985076,0.45141065830721006,804.0
label_55930002,0.43329989969909727,0.6615620214395099,0.5236363636363637,653.0
label_5609005,0.25,0.25,0.25,8.0
label_57054005,0.3125,0.35714285714285715,0.3333333333333333,14.0
label_59118001,0.35046728971962615,0.8333333333333334,0.4934210526315789,90.0
label_59931005,0.43517329910141206,0.7306034482758621,0.5454545454545454,464.0
label_61277005,0.0,0.0,0.0,3.0
label_61721007,0.25862068965517243,0.33707865168539325,0.2926829268292683,89.0
label_63593006,0.0,0.0,0.0,0.0
label_6374002,0.39655172413793105,0.36507936507936506,0.38016528925619836,63.0
label_65778007,0.0,0.0,0.0,1.0
label_67741000119109,0.0,0.0,0.0,0.0
label_67751000119106,0.0,0.0,0.0,3.0
label_698252002,0.3624161073825503,0.453781512605042,0.40298507462686567,119.0
label_713422000,0.18840579710144928,0.28888888888888886,0.22807017543859648,45.0
label_713426002,0.36666666666666664,0.2619047619047619,0.3055555555555556,42.0
label_713427006,0.5619834710743802,0.9379310344827586,0.7028423772609819,145.0
label_733534002,0.6170212765957447,0.6744186046511628,0.6444444444444445,43.0
label_74390002,0.75,0.8571428571428571,0.8,7.0
label_75532003,0.14285714285714285,0.14285714285714285,0.14285714285714285,7.0
label_77867006,0.0,0.0,0.0,2.0
label_81898007,0.45,0.75,0.5625,12.0
label_89792004,0.8,0.2,0.32,20.0
micro avg,0.6351581335980712,0.6737119217751034,0.6538672117385115,13295.0
macro avg,0.2753201889605113,0.30411612728591936,0.2775209858472697,13295.0
weighted avg,0.6604299313306303,0.6737119217751034,0.6576660382036053,13295.0
samples avg,0.7230648195883211,0.7408184958568835,0.7027552036282865,13295.0
