label,TN,FP,FN,TP
label_10370003,6578,13,11,171
label_106068003,6710,32,7,24
label_111288001,6772,0,0,1
label_11157007,6773,0,0,0
label_111975006,6691,14,60,8
label_13640000,6689,65,14,5
label_164865005,6735,20,15,3
label_164873001,6591,63,68,51
label_164889003,6357,143,217,56
label_164890007,5222,303,143,1105
label_164896001,6760,5,1,7
label_164909002,6680,56,18,19
label_164912004,6731,17,19,6
label_164917005,6480,115,77,101
label_164930006,6565,77,85,46
label_164931005,6729,19,23,2
label_164934002,5454,266,507,546
label_164937009,6745,3,25,0
label_164942001,6773,0,0,0
label_164947007,6763,3,7,0
label_17338001,6693,40,32,8
label_17366009,6772,0,1,0
label_195042002,6755,9,8,1
label_195060002,6772,0,1,0
label_195101003,6773,0,0,0
label_233892002,6764,5,3,1
label_233897008,6767,2,4,0
label_233917008,6708,28,29,8
label_251120003,6771,0,2,0
label_251146004,6562,65,116,30
label_251164006,6770,0,3,0
label_251166008,6770,1,2,0
label_251170000,6761,3,9,0
label_251173003,6772,0,1,0
label_251180001,6772,1,0,0
label_251187003,6767,5,1,0
label_251198002,6760,2,9,2
label_251199005,6728,11,33,1
label_251205003,6739,17,14,3
label_251223006,6706,35,21,11
label_270492004,6527,74,41,131
label_27885002,6745,15,9,4
label_284470004,6424,157,138,54
label_29320008,6725,26,15,7
label_365413008,6511,159,61,42
label_39732003,6364,157,62,190
label_418818005,6773,0,0,0
label_425856008,6756,6,9,2
label_426177001,4257,73,266,2177
label_426183003,6771,0,2,0
label_426627000,6771,0,2,0
label_426648003,6767,2,4,0
label_426664006,6770,0,3,0
label_426761007,6638,27,22,86
label_426783006,5395,137,219,1022
label_426995002,6731,33,9,0
label_427084000,5677,54,81,961
label_427172004,6534,84,59,96
label_427393009,6295,105,255,118
label_428417006,6696,22,44,11
label_428750005,6505,94,161,13
label_429622005,6192,312,90,179
label_445118002,6657,61,17,38
label_445211001,6771,0,2,0
label_446358003,6765,1,4,3
label_446813000,6770,0,3,0
label_47665007,6589,55,54,75
label_49578007,6772,0,1,0
label_50799005,6764,5,4,0
label_54016002,6767,1,5,0
label_54329005,6752,13,5,3
label_55827005,5538,431,444,360
label_55930002,5555,565,221,432
label_5609005,6759,6,6,2
label_57054005,6748,11,9,5
label_59118001,6544,139,15,75
label_59931005,5869,440,125,339
label_61277005,6770,0,3,0
label_61721007,6598,86,59,30
label_63593006,6773,0,0,0
label_6374002,6675,35,40,23
label_65778007,6772,0,1,0
label_67741000119109,6773,0,0,0
label_67751000119106,6763,7,3,0
label_698252002,6559,95,65,54
label_713422000,6672,56,32,13
label_713426002,6712,19,31,11
label_713427006,6522,106,9,136
label_733534002,6712,18,14,29
label_74390002,6764,2,1,6
label_75532003,6760,6,6,1
label_77867006,6771,0,2,0
label_81898007,6750,11,3,9
label_89792004,6752,1,16,4
