,precision,recall,f1-score,support
label_10370003,0.71900826446281,0.9560439560439561,0.8207547169811321,182.0
label_106068003,0.32,0.7741935483870968,0.4528301886792453,31.0
label_111288001,0.3333333333333333,1.0,0.5,1.0
label_11157007,0.0,0.0,0.0,0.0
label_111975006,0.14285714285714285,0.4117647058823529,0.21212121212121213,68.0
label_13640000,0.08029197080291971,0.5789473684210527,0.14102564102564102,19.0
label_164865005,0.1411764705882353,0.6666666666666666,0.23300970873786409,18.0
label_164873001,0.25722543352601157,0.7478991596638656,0.3827956989247312,119.0
label_164889003,0.19939347990902198,0.9633699633699634,0.33040201005025127,273.0
label_164890007,0.7100115074798619,0.9887820512820513,0.826523777628935,1248.0
label_164896001,0.5,0.875,0.6363636363636364,8.0
label_164909002,0.16556291390728478,0.6756756756756757,0.26595744680851063,37.0
label_164912004,0.10126582278481013,0.32,0.15384615384615385,25.0
label_164917005,0.2601054481546573,0.8314606741573034,0.3962516733601071,178.0
label_164930006,0.19616204690831557,0.7022900763358778,0.30666666666666664,131.0
label_164931005,0.10091743119266056,0.44,0.16417910447761194,25.0
label_164934002,0.420816509645581,0.8907882241215574,0.5716026812918952,1053.0
label_164937009,0.04477611940298507,0.12,0.06521739130434782,25.0
label_164942001,0.0,0.0,0.0,0.0
label_164947007,0.0,0.0,0.0,7.0
label_17338001,0.1503267973856209,0.575,0.23834196891191708,40.0
label_17366009,0.0,0.0,0.0,1.0
label_195042002,0.08695652173913043,0.4444444444444444,0.14545454545454545,9.0
label_195060002,0.0,0.0,0.0,1.0
label_195101003,0.0,0.0,0.0,0.0
label_233892002,0.1,0.25,0.14285714285714285,4.0
label_233897008,0.0625,0.25,0.1,4.0
label_233917008,0.1232876712328767,0.4864864864864865,0.19672131147540983,37.0
label_251120003,0.0,0.0,0.0,2.0
label_251146004,0.11842105263157894,0.7397260273972602,0.20415879017013233,146.0
label_251164006,0.0,0.0,0.0,3.0
label_251166008,0.0,0.0,0.0,2.0
label_251170000,0.0,0.0,0.0,9.0
label_251173003,0.0,0.0,0.0,1.0
label_251180001,0.0,0.0,0.0,0.0
label_251187003,0.0,0.0,0.0,1.0
label_251198002,0.14285714285714285,0.6363636363636364,0.23333333333333334,11.0
label_251199005,0.2125,0.5,0.2982456140350877,34.0
label_251205003,0.14545454545454545,0.47058823529411764,0.2222222222222222,17.0
label_251223006,0.16161616161616163,0.5,0.24427480916030533,32.0
label_270492004,0.4301675977653631,0.8953488372093024,0.5811320754716981,172.0
