label,TN,FP,FN,TP
label_10370003,6523,68,8,174
label_106068003,6691,51,7,24
label_111288001,6770,2,0,1
label_11157007,6773,0,0,0
label_111975006,6537,168,40,28
label_13640000,6628,126,8,11
label_164865005,6682,73,6,12
label_164873001,6397,257,30,89
label_164889003,5444,1056,10,263
label_164890007,5021,504,14,1234
label_164896001,6758,7,1,7
label_164909002,6610,126,12,25
label_164912004,6677,71,17,8
label_164917005,6174,421,30,148
label_164930006,6265,377,39,92
label_164931005,6650,98,14,11
label_164934002,4429,1291,115,938
label_164937009,6684,64,22,3
label_164942001,6773,0,0,0
label_164947007,6746,20,7,0
label_17338001,6603,130,17,23
label_17366009,6772,0,1,0
label_195042002,6722,42,5,4
label_195060002,6771,1,1,0
label_195101003,6773,0,0,0
label_233892002,6760,9,3,1
label_233897008,6754,15,3,1
label_233917008,6608,128,19,18
label_251120003,6771,0,2,0
label_251146004,5823,804,38,108
label_251164006,6769,1,3,0
label_251166008,6770,1,2,0
label_251170000,6742,22,9,0
label_251173003,6772,0,1,0
label_251180001,6764,9,0,0
label_251187003,6760,12,1,0
label_251198002,6720,42,4,7
label_251199005,6676,63,17,17
label_251205003,6709,47,9,8
label_251223006,6658,83,16,16
label_270492004,6397,204,18,154
label_27885002,6716,44,4,9
label_284470004,5956,625,67,125
label_29320008,6676,75,8,14
label_365413008,6193,477,15,88
label_39732003,6197,324,13,239
label_418818005,6773,0,0,0
label_425856008,6719,43,5,6
label_426177001,4115,215,31,2412
label_426183003,6769,2,2,0
label_426627000,6771,0,2,0
label_426648003,6766,3,4,0
label_426664006,6770,0,3,0
label_426761007,6597,68,12,96
label_426783006,5143,389,76,1165
label_426995002,6703,61,4,5
label_427084000,5617,114,37,1005
label_427172004,6432,186,27,128
label_427393009,4931,1469,102,271
label_428417006,6578,140,24,31
label_428750005,5917,682,51,123
label_429622005,5804,700,33,236
label_445118002,6537,181,5,50
label_445211001,6770,1,2,0
label_446358003,6764,2,5,2
label_446813000,6770,0,3,0
label_47665007,6378,266,11,118
label_49578007,6769,3,1,0
label_50799005,6729,40,3,1
label_54016002,6758,10,5,0
label_54329005,6714,51,3,5
label_55827005,4504,1465,143,661
label_55930002,4897,1223,67,586
label_5609005,6751,14,5,3
label_57054005,6737,22,5,9
label_59118001,6464,219,6,84
label_59931005,5191,1118,26,438
label_61277005,6768,2,2,1
label_61721007,6381,303,19,70
label_63593006,6773,0,0,0
label_6374002,6528,182,15,48
label_65778007,6772,0,1,0
label_67741000119109,6773,0,0,0
label_67751000119106,6762,8,3,0
label_698252002,6344,310,50,69
label_713422000,6582,146,27,18
label_713426002,6614,117,11,31
label_713427006,6475,153,6,139
label_733534002,6691,39,4,39
label_74390002,6760,6,1,6
label_75532003,6738,28,6,1
label_77867006,6771,0,2,0
label_81898007,6735,26,1,11
label_89792004,6735,18,8,12
