label,TN,FP,FN,TP
label_10370003,6579,12,8,174
label_106068003,6721,21,8,23
label_111288001,6770,2,0,1
label_11157007,6746,27,0,0
label_111975006,6537,168,40,28
label_13640000,6612,142,6,13
label_164865005,6726,29,11,7
label_164873001,6587,67,67,52
label_164889003,5565,935,23,250
label_164890007,5140,385,44,1204
label_164896001,6762,3,2,6
label_164909002,6671,65,22,15
label_164912004,6677,71,17,8
label_164917005,6437,158,61,117
label_164930006,6497,145,63,68
label_164931005,6739,9,24,1
label_164934002,5085,635,265,788
label_164937009,6718,30,25,0
label_164942001,6773,0,0,0
label_164947007,6746,20,7,0
label_17338001,6603,130,17,23
label_17366009,6624,148,1,0
label_195042002,6763,1,9,0
label_195060002,6771,1,1,0
label_195101003,6773,0,0,0
label_233892002,6755,14,3,1
label_233897008,6754,15,3,1
label_233917008,6692,44,24,13
label_251120003,6749,22,2,0
label_251146004,6538,89,99,47
label_251164006,6769,1,3,0
label_251166008,6766,5,2,0
label_251170000,6263,501,5,4
label_251173003,6772,0,1,0
label_251180001,6764,9,0,0
label_251187003,6760,12,1,0
label_251198002,6720,42,4,7
label_251199005,6726,13,30,4
label_251205003,6741,15,12,5
label_251223006,6738,3,29,3
label_270492004,6539,62,53,119
label_27885002,6743,17,10,3
label_284470004,6380,201,117,75
label_29320008,6714,37,12,10
label_365413008,6394,276,41,62
label_39732003,6383,138,71,181
label_418818005,6773,0,0,0
label_425856008,6758,4,11,0
label_426177001,4167,163,62,2381
label_426183003,6722,49,1,1
label_426627000,6761,10,0,2
label_426648003,6657,112,3,1
label_426664006,6514,256,3,0
label_426761007,6632,33,22,86
label_426783006,5351,181,179,1062
label_426995002,6753,11,8,1
label_427084000,5665,66,72,970
label_427172004,6535,83,46,109
label_427393009,6143,257,208,165
label_428417006,6625,93,26,29
label_428750005,6196,403,91,83
label_429622005,6159,345,71,198
label_445118002,6644,74,14,41
label_445211001,6770,1,2,0
label_446358003,6766,0,6,1
label_446813000,6769,1,3,0
label_47665007,6523,121,34,95
label_49578007,6720,52,1,0
label_50799005,6740,29,4,0
label_54016002,6758,10,5,0
label_54329005,6729,36,3,5
label_55827005,5043,926,250,554
label_55930002,5567,553,197,456
label_5609005,6751,14,5,3
label_57054005,6757,2,13,1
label_59118001,6550,133,17,73
label_59931005,6054,255,186,278
label_61277005,6766,4,2,1
label_61721007,6580,104,61,28
label_63593006,6279,494,0,0
label_6374002,6648,62,35,28
label_65778007,6772,0,1,0
label_67741000119109,6773,0,0,0
label_67751000119106,6750,20,3,0
label_698252002,6610,44,77,42
label_713422000,6673,55,35,10
label_713426002,6673,58,20,22
label_713427006,6529,99,16,129
label_733534002,6717,13,17,26
label_74390002,6764,2,2,5
label_75532003,6697,69,5,2
label_77867006,6771,0,2,0
label_81898007,6756,5,7,5
label_89792004,6725,28,5,15
