label,TN,FP,FN,TP
label_10370003,6572,19,8,174
label_106068003,6715,27,7,24
label_111288001,6771,1,0,1
label_11157007,6773,0,0,0
label_111975006,6518,187,35,33
label_13640000,6688,66,13,6
label_164865005,6720,35,9,9
label_164873001,6405,249,33,86
label_164889003,5504,996,21,252
label_164890007,5081,444,22,1226
label_164896001,6757,8,1,7
label_164909002,6615,121,14,23
label_164912004,6707,41,20,5
label_164917005,6375,220,38,140
label_164930006,6410,232,42,89
label_164931005,6653,95,15,10
label_164934002,4589,1131,125,928
label_164937009,6681,67,20,5
label_164942001,6773,0,0,0
label_164947007,6735,31,6,1
label_17338001,6577,156,16,24
label_17366009,6772,0,1,0
label_195042002,6722,42,6,3
label_195060002,6770,2,1,0
label_195101003,6773,0,0,0
label_233892002,6766,3,3,1
label_233897008,6766,3,3,1
label_233917008,6660,76,21,16
label_251120003,6771,0,2,0
label_251146004,6162,465,54,92
label_251164006,6769,1,3,0
label_251166008,6767,4,2,0
label_251170000,6747,17,9,0
label_251173003,6772,0,1,0
label_251180001,6760,13,0,0
label_251187003,6770,2,1,0
label_251198002,6725,37,4,7
label_251199005,6643,96,18,16
label_251205003,6729,27,12,5
label_251223006,6675,66,16,16
label_270492004,6410,191,15,157
label_27885002,6737,23,10,3
label_284470004,5948,633,73,119
label_29320008,6708,43,10,12
label_365413008,6409,261,38,65
label_39732003,6225,296,14,238
label_418818005,6773,0,0,0
label_425856008,6718,44,4,7
label_426177001,4136,194,37,2406
label_426183003,6771,0,2,0
label_426627000,6771,0,2,0
label_426648003,6765,4,4,0
label_426664006,6770,0,3,0
label_426761007,6601,64,12,96
label_426783006,5175,357,92,1149
label_426995002,6729,35,6,3
label_427084000,5608,123,39,1003
label_427172004,6413,205,26,129
label_427393009,4643,1757,88,285
label_428417006,6602,116,26,29
label_428750005,5867,732,51,123
label_429622005,6010,494,49,220
label_445118002,6582,136,7,48
label_445211001,6770,1,2,0
label_446358003,6760,6,4,3
label_446813000,6770,0,3,0
label_47665007,6469,175,20,109
label_49578007,6769,3,1,0
label_50799005,6738,31,4,0
label_54016002,6762,6,5,0
label_54329005,6737,28,4,4
label_55827005,4716,1253,169,635
label_55930002,5031,1089,89,564
label_5609005,6753,12,7,1
label_57054005,6748,11,9,5
label_59118001,6472,211,5,85
label_59931005,5496,813,53,411
label_61277005,6768,2,2,1
label_61721007,6374,310,20,69
label_63593006,6773,0,0,0
label_6374002,6549,161,16,47
label_65778007,6772,0,1,0
label_67741000119109,6773,0,0,0
label_67751000119106,6762,8,3,0
label_698252002,6347,307,47,72
label_713422000,6640,88,26,19
label_713426002,6610,121,13,29
label_713427006,6493,135,8,137
label_733534002,6692,38,4,39
label_74390002,6761,5,1,6
label_75532003,6735,31,6,1
label_77867006,6771,0,2,0
label_81898007,6737,24,0,12
label_89792004,6733,20,7,13
