label,precision,recall,f1-score,support
label_10370003,0.9542857142857143,0.9175824175824175,0.9355742296918768,182.0
label_106068003,0.6111111111111112,0.7096774193548387,0.6567164179104478,31.0
label_111288001,1.0,1.0,1.0,1.0
label_11157007,0.0,0.0,0.0,0.0
label_111975006,0.42105263157894735,0.11764705882352941,0.1839080459770115,68.0
label_13640000,0.0625,0.05263157894736842,0.05714285714285714,19.0
label_164865005,0.3076923076923077,0.4444444444444444,0.36363636363636365,18.0
label_164873001,0.5394736842105263,0.3445378151260504,0.4205128205128205,119.0
label_164889003,0.22966507177033493,0.17582417582417584,0.1991701244813278,273.0
label_164890007,0.803088803088803,0.8333333333333334,0.8179315768777035,1248.0
label_164896001,0.6666666666666666,0.75,0.7058823529411765,8.0
label_164909002,0.2653061224489796,0.35135135135135137,0.3023255813953488,37.0
label_164912004,0.42857142857142855,0.12,0.1875,25.0
label_164917005,0.4875,0.6573033707865169,0.5598086124401914,178.0
label_164930006,0.3630952380952381,0.46564885496183206,0.4080267558528428,131.0
label_164931005,0.11538461538461539,0.12,0.11764705882352941,25.0
label_164934002,0.766798418972332,0.3684710351377018,0.49775497113534317,1053.0
label_164937009,0.0,0.0,0.0,25.0
label_164942001,0.0,0.0,0.0,0.0
label_164947007,0.0,0.0,0.0,7.0
label_17338001,0.19230769230769232,0.5,0.2777777777777778,40.0
label_17366009,0.0,0.0,0.0,1.0
label_195042002,0.14285714285714285,0.1111111111111111,0.125,9.0
label_195060002,0.0,0.0,0.0,1.0
label_195101003,0.0,0.0,0.0,0.0
label_233892002,0.0,0.0,0.0,4.0
label_233897008,0.0,0.0,0.0,4.0
label_233917008,0.21621621621621623,0.21621621621621623,0.21621621621621623,37.0
label_251120003,0.0,0.0,0.0,2.0
label_251146004,0.3448275862068966,0.273972602739726,0.3053435114503817,146.0
label_251164006,0.0,0.0,0.0,3.0
label_251166008,0.0,0.0,0.0,2.0
label_251170000,0.0,0.0,0.0,9.0
label_251173003,0.0,0.0,0.0,1.0
label_251180001,0.0,0.0,0.0,0.0
label_251187003,0.0,0.0,0.0,1.0
