label,precision,recall,f1-score,support
label_10370003,0.9197860962566845,0.945054945054945,0.9322493224932249,182.0
label_106068003,0.38095238095238093,0.7741935483870968,0.5106382978723404,31.0
label_111288001,0.14285714285714285,1.0,0.25,1.0
label_11157007,0.0,0.0,0.0,0.0
label_111975006,0.16593886462882096,0.5588235294117647,0.2558922558922559,68.0
label_13640000,0.08045977011494253,0.3684210526315789,0.1320754716981132,19.0
label_164865005,0.17333333333333334,0.7222222222222222,0.27956989247311825,18.0
label_164873001,0.24776119402985075,0.6974789915966386,0.3656387665198238,119.0
label_164889003,0.20120572720422006,0.978021978021978,0.33375,273.0
label_164890007,0.7315914489311164,0.9871794871794872,0.8403819918144612,1248.0
label_164896001,0.4666666666666667,0.875,0.6086956521739131,8.0
label_164909002,0.13793103448275862,0.8648648648648649,0.2379182156133829,37.0
label_164912004,0.0963855421686747,0.32,0.14814814814814814,25.0
label_164917005,0.2613065326633166,0.8764044943820225,0.40258064516129033,178.0
label_164930006,0.16930379746835442,0.816793893129771,0.2804718217562254,131.0
label_164931005,0.06818181818181818,0.48,0.11940298507462686,25.0
label_164934002,0.427073837739289,0.8898385565052231,0.5771481367416076,1053.0
label_164937009,0.08860759493670886,0.28,0.1346153846153846,25.0
label_164942001,0.0,0.0,0.0,0.0
label_164947007,0.030303030303030304,0.2857142857142857,0.0547945205479452,7.0
label_17338001,0.13903743315508021,0.65,0.2290748898678414,40.0
label_17366009,0.0,0.0,0.0,1.0
label_195042002,0.057692307692307696,0.3333333333333333,0.09836065573770492,9.0
label_195060002,0.0,0.0,0.0,1.0
label_195101003,0.0,0.0,0.0,0.0
label_233892002,0.14285714285714285,0.5,0.2222222222222222,4.0
label_233897008,0.06666666666666667,0.25,0.10526315789473684,4.0
label_233917008,0.1347517730496454,0.5135135135135135,0.21348314606741572,37.0
label_251120003,0.0,0.0,0.0,2.0
label_251146004,0.12625,0.6917808219178082,0.2135306553911205,146.0
label_251164006,0.0,0.0,0.0,3.0
label_251166008,0.0,0.0,0.0,2.0
label_251170000,0.0,0.0,0.0,9.0
label_251173003,0.0,0.0,0.0,1.0
label_251180001,0.0,0.0,0.0,0.0
