label,threshold,validation_precision,validation_recall,validation_f1,validation_support,predicted_positive_count
label_10370003,0.8,0.9122807017543859,0.9230769230769231,0.9176470588235294,169,171
label_106068003,0.65,0.6530612244897959,0.8421052631578947,0.735632183908046,38,49
label_111288001,0.5,0.0,0.0,0.0,0,2
label_11157007,0.1,0.0,0.0,0.0,1,41
label_111975006,0.5,0.09230769230769231,0.32727272727272727,0.144,55,195
label_13640000,0.45,0.12318840579710146,0.7727272727272727,0.2125,22,138
label_164865005,0.65,0.52,0.5909090909090909,0.5531914893617021,22,25
label_164873001,0.65,0.36,0.375,0.3673469387755102,96,100
label_164889003,0.55,0.21856027753686036,0.8842105263157894,0.35048678720445064,285,1153
label_164890007,0.6,0.7352564102564103,0.961441743503772,0.8332727933163822,1193,1560
label_164896001,0.7,1.0,0.75,0.8571428571428571,8,6
label_164909002,0.6,0.32142857142857145,0.6585365853658537,0.432,41,84
label_164912004,0.5,0.125,0.375,0.1875,24,72
label_164917005,0.65,0.36475409836065575,0.5527950310559007,0.43950617283950616,161,244
label_164930006,0.6,0.285,0.4830508474576271,0.3584905660377358,118,200
label_164931005,0.75,0.6,0.11538461538461539,0.1935483870967742,26,5
label_164934002,0.6,0.5431218816821097,0.7222748815165877,0.6200162733930025,1055,1403
label_164937009,0.55,0.28,0.2413793103448276,0.25925925925925924,29,25
label_164942001,0.5,0.0,0.0,0.0,0,0
label_164947007,0.5,0.2727272727272727,0.2727272727272727,0.2727272727272727,11,11
label_17338001,0.5,0.1366120218579235,0.5813953488372093,0.22123893805309736,43,183
label_17366009,0.1,0.0,0.0,0.0,2,168
label_195042002,0.75,0.3333333333333333,0.1111111111111111,0.16666666666666666,9,3
label_195060002,0.5,0.5,0.3333333333333333,0.4,3,2
label_195101003,0.5,0.0,0.0,0.0,0,0
label_233892002,0.4,0.05,1.0,0.09523809523809523,1,20
label_233897008,0.5,0.1,0.2,0.13333333333333333,5,10
label_233917008,0.6,0.12962962962962962,0.20588235294117646,0.1590909090909091,34,54
label_251120003,0.1,0.0,0.0,0.0,2,24
label_251146004,0.7,0.3888888888888889,0.296969696969697,0.33676975945017185,165,126
label_251164006,0.5,0.0,0.0,0.0,0,0
label_251166008,0.45,0.125,0.5,0.2,2,8
label_251170000,0.25,0.006134969325153374,0.3,0.012024048096192385,10,489
label_251173003,0.5,0.0,0.0,0.0,0,0
label_251180001,0.5,0.08333333333333333,1.0,0.15384615384615385,1,12
label_251187003,0.5,0.0,0.0,0.0,0,5
label_251198002,0.5,0.16326530612244897,0.5714285714285714,0.25396825396825395,14,49
label_251199005,0.65,0.2222222222222222,0.16,0.18604651162790697,25,18
label_251205003,0.6,0.09090909090909091,0.1,0.09523809523809523,20,22
label_251223006,0.8,0.4666666666666667,0.2413793103448276,0.3181818181818182,29,15
label_270492004,0.7,0.6153846153846154,0.6906474820143885,0.6508474576271186,139,156
label_27885002,0.65,0.3333333333333333,0.45454545454545453,0.38461538461538464,11,15
label_284470004,0.6,0.2612244897959184,0.32653061224489793,0.29024943310657597,196,245
label_29320008,0.6,0.30952380952380953,0.5,0.38235294117647056,26,42
label_365413008,0.6,0.20462046204620463,0.7126436781609196,0.31794871794871793,87,303
label_39732003,0.7,0.5625,0.7465437788018433,0.6415841584158416,217,288
label_418818005,0.5,0.0,0.0,0.0,0,0
label_425856008,0.8,0.5,0.21428571428571427,0.3,14,6
label_426177001,0.55,0.9492667459373761,0.9755600814663951,0.9622338288469264,2455,2523
label_426183003,0.1,0.0,0.0,0.0,2,44
label_426627000,0.15,0.3,1.0,0.46153846153846156,3,10
label_426648003,0.2,0.008264462809917356,1.0,0.01639344262295082,1,121
label_426664006,0.1,0.003937007874015748,0.5,0.0078125,2,254
label_426761007,0.65,0.7350427350427351,0.7413793103448276,0.7381974248927039,116,117
label_426783006,0.6,0.8435897435897436,0.8560277536860365,0.8497632371932845,1153,1170
label_426995002,0.7,0.2857142857142857,0.25,0.26666666666666666,16,14
label_427084000,0.6,0.956369982547993,0.9489177489177489,0.9526292916123424,1155,1146
label_427172004,0.65,0.5661157024793388,0.7527472527472527,0.6462264150943396,182,242
label_427393009,0.6,0.36507936507936506,0.4225721784776903,0.39172749391727496,381,441
label_428417006,0.55,0.319672131147541,0.6190476190476191,0.42162162162162165,63,122
label_428750005,0.55,0.1814814814814815,0.5664739884393064,0.27489481065918653,173,540
label_429622005,0.6,0.33213644524236985,0.7198443579766537,0.45454545454545453,257,557
label_445118002,0.65,0.36082474226804123,0.6862745098039216,0.47297297297297297,51,97
label_445211001,0.5,0.0,0.0,0.0,0,2
label_446358003,0.65,1.0,0.5555555555555556,0.7142857142857143,9,5
label_446813000,0.3,0.25,0.3333333333333333,0.2857142857142857,3,4
label_47665007,0.65,0.4322033898305085,0.7034482758620689,0.5354330708661418,145,236
label_49578007,0.25,0.028985507246376812,0.5,0.0547945205479452,4,69
label_50799005,0.55,0.15789473684210525,0.3,0.20689655172413793,10,19
label_54016002,0.5,0.2222222222222222,0.3333333333333333,0.26666666666666666,6,9
label_54329005,0.55,0.07407407407407407,0.6666666666666666,0.13333333333333333,3,27
label_55827005,0.55,0.39758226997985224,0.709832134292566,0.509685751183814,834,1489
label_55930002,0.6,0.44455252918287935,0.6966463414634146,0.5427553444180523,656,1028
label_5609005,0.5,0.19047619047619047,0.5,0.27586206896551724,8,21
label_57054005,0.85,0.5,0.4,0.4444444444444444,5,4
label_59118001,0.65,0.377431906614786,0.8362068965517241,0.5201072386058981,116,257
label_59931005,0.7,0.48283261802575106,0.5220417633410673,0.5016722408026756,431,466
label_61277005,0.4,0.25,0.5,0.3333333333333333,2,4
label_61721007,0.65,0.3474576271186441,0.4659090909090909,0.39805825242718446,88,118
label_63593006,0.1,0.0,0.0,0.0,2,491
label_6374002,0.65,0.35384615384615387,0.4107142857142857,0.38016528925619836,56,65
label_65778007,0.5,0.0,0.0,0.0,0,1
label_67741000119109,0.5,0.0,0.0,0.0,0,0
label_67751000119106,0.4,0.07692307692307693,0.25,0.11764705882352941,8,26
label_698252002,0.75,0.38372093023255816,0.2920353982300885,0.3316582914572864,113,86
label_713422000,0.6,0.2222222222222222,0.32653061224489793,0.2644628099173554,49,72
label_713426002,0.6,0.23943661971830985,0.5483870967741935,0.3333333333333333,31,71
label_713427006,0.65,0.5684931506849316,0.9171270718232044,0.7019027484143763,181,292
label_733534002,0.75,0.55,0.7096774193548387,0.6197183098591549,31,40
label_74390002,0.65,0.6,0.42857142857142855,0.5,7,5
label_75532003,0.4,0.07575757575757576,0.35714285714285715,0.125,14,66
label_77867006,0.5,0.0,0.0,0.0,0,0
label_81898007,0.8,0.75,0.75,0.75,12,12
label_89792004,0.45,0.2077922077922078,0.6666666666666666,0.31683168316831684,24,77
