diagnosis_code,occurrence_count,Acronym Name,Full Name
426177001,16559,SB,Sinus Bradycardia
426783006,8125,SR,Sinus Rhythm
164890007,8060,AF,Atrial Flutter
427084000,7255,ST,Sinus Tachycardia
164934002,7043,TWC,T wave Change
55827005,5401,,
55930002,4232,,
59931005,2877,TWO,T wave opposite
427393009,2550,SA,Sinus Irregularity
164889003,1780,AFIB,Atrial Fibrillation
429622005,1668,STDD,ST drop down
39732003,1545,ALS,Axis left shift
284470004,1312,APB,atrial premature beats
10370003,1182,,
428750005,1158,STTC,ST-T Change
270492004,1140,1AVB,1 degree atrioventricular block
713427006,1096,,
427172004,1091,,
164917005,1063,AQW,abnormal Q wave
251146004,1043,LVQRSAL,lower voltage QRS in all lead
47665007,853,ARS,Axis right shift
164930006,801,STE,ST extension
698252002,771,IDC,Interior differences conduction
698252002,771,IVB,Intraventricular block
426761007,724,SVT,Supraventricular Tachycardia
61721007,653,,
59118001,649,RBBB,right bundle branch block
164873001,647,LVH,left ventricle hypertrophy
365413008,638,,
111975006,394,QTIE,QT interval extension
6374002,385,,
445118002,380,,
428417006,366,ERV,Early repolarization of the ventricles
713422000,297,AT,Atrial Tachycardia
17338001,294,VPB,ventricular premature beat
713426002,246,,
233917008,244,AVB,atrioventricular block
164909002,240,LBBB,left bundle branch block
164909002,240,LBBBB,left back bundle branch block
164909002,240,LFBBB,left front bundle branch block
251223006,215,,
106068003,215,,
733534002,213,,
164931005,176,STTU,ST tilt up
251199005,162,CCR,countercolockwise rotation
164912004,142,PWC,P wave Change
29320008,139,,
164937009,136,UW,U wave
164865005,123,MI,myocardial infarction
164865005,123,MIBW,myocardial infraction in back wall
164865005,123,MIFW,Myocardial infgraction in the front wall
164865005,123,MILW,Myocardial infraction in the lower wall
164865005,123,MISW,Myocardial infraction in the side wall
13640000,116,VFW,ventricular fusion wave
89792004,110,RVH,right ventricle hypertrophy
425856008,109,,
251205003,106,,
81898007,96,,
251198002,76,CR,colockwise rotation
27885002,76,3AVB,3 degree atrioventricular block
426995002,75,JEB,junctional escape beat
74390002,72,WPW,WPW
195042002,66,2AVB,2 degree atrioventricular block
251170000,62,,
50799005,59,,
164896001,59,,
54329005,57,,
75532003,56,VEB,ventricular escape beat
164947007,52,PRIE,PR interval extension
57054005,49,,
446358003,36,RAH,right atrial hypertrophy
67751000119106,36,,
5609005,33,,
54016002,31,2AVB1,2 degree atrioventricular block(Type one)
233897008,26,AVRT,Atrioventricular Reentrant Tachycardia
426648003,24,,
49578007,23,,
251187003,17,,
251166008,16,,
233892002,16,,
61277005,14,,
195060002,12,VPE,ventricular preexcitation
426664006,12,,
251164006,11,JPT,junctional premature beat
63593006,9,,
251180001,8,VET,ventricular escape trigeminy
446813000,8,,
17366009,7,,
426627000,7,,
111288001,7,,
426183003,7,,
251120003,6,,
65778007,5,,
445211001,5,,
418818005,5,,
251173003,3,ABI,atrial bigeminy
164942001,3,FQRS,fQRS Wave
11157007,3,VB,ventricular bigeminy
195101003,2,WAVN,Wandering in the atrioventricalualr node
195101003,2,SAAWR,Sinus Atrium to Atrial Wandering Rhythm
77867006,2,,
67741000119109,1,,
