label,TN,FP,FN,TP
label_10370003,6248,343,19,163
label_106068003,6740,2,31,0
label_111288001,6762,10,1,0
label_11157007,6773,0,0,0
label_111975006,6501,204,49,19
label_13640000,6610,144,7,12
label_164865005,6636,119,4,14
label_164873001,6170,484,29,90
label_164889003,5297,1203,30,243
label_164890007,4796,729,74,1174
label_164896001,6754,11,0,8
label_164909002,6589,147,6,31
label_164912004,6593,155,22,3
label_164917005,5769,826,21,157
label_164930006,5798,844,29,102
label_164931005,6620,128,13,12
label_164934002,3840,1880,95,958
label_164937009,6736,12,25,0
label_164942001,6773,0,0,0
label_164947007,6766,0,7,0
label_17338001,6367,366,21,19
label_17366009,6772,0,1,0
label_195042002,6757,7,9,0
label_195060002,6772,0,1,0
label_195101003,6773,0,0,0
label_233892002,6769,0,4,0
label_233897008,6767,2,4,0
label_233917008,6579,157,22,15
label_251120003,6771,0,2,0
label_251146004,5608,1019,44,102
label_251164006,6770,0,3,0
label_251166008,6769,2,1,1
label_251170000,6764,0,9,0
label_251173003,6772,0,1,0
label_251180001,6773,0,0,0
label_251187003,6772,0,1,0
label_251198002,6713,49,4,7
label_251199005,6603,136,11,23
label_251205003,6754,2,17,0
label_251223006,6573,168,12,20
label_270492004,4644,1957,34,138
label_27885002,6727,33,12,1
label_284470004,4744,1837,69,123
label_29320008,6671,80,14,8
label_365413008,6038,632,8,95
label_39732003,5996,525,7,245
label_418818005,6773,0,0,0
label_425856008,6697,65,5,6
label_426177001,3742,588,88,2355
label_426183003,6771,0,2,0
label_426627000,6771,0,2,0
label_426648003,6769,0,4,0
label_426664006,6770,0,3,0
label_426761007,6358,307,7,101
label_426783006,4568,964,326,915
label_426995002,6753,11,8,1
label_427084000,5121,610,55,987
label_427172004,5302,1316,15,140
label_427393009,5441,959,174,199
label_428417006,6479,239,19,36
label_428750005,5541,1058,30,144
label_429622005,5418,1086,24,245
label_445118002,6542,176,5,50
label_445211001,6771,0,2,0
label_446358003,6759,7,2,5
label_446813000,6770,0,3,0
label_47665007,6310,334,11,118
label_49578007,6772,0,1,0
label_50799005,6737,32,1,3
label_54016002,6768,0,5,0
label_54329005,6676,89,5,3
label_55827005,4213,1756,180,624
label_55930002,4520,1600,66,587
label_5609005,6759,6,7,1
label_57054005,6673,86,3,11
label_59118001,6475,208,6,84
label_59931005,4560,1749,18,446
label_61277005,6766,4,3,0
label_61721007,6348,336,26,63
label_63593006,6773,0,0,0
label_6374002,6259,451,12,51
label_65778007,6772,0,1,0
label_67741000119109,6773,0,0,0
label_67751000119106,6770,0,3,0
label_698252002,5544,1110,35,84
label_713422000,6673,55,42,3
label_713426002,6663,68,27,15
label_713427006,6440,188,5,140
label_733534002,6680,50,2,41
label_74390002,6738,28,3,4
label_75532003,6744,22,4,3
label_77867006,6771,0,2,0
label_81898007,6727,34,3,9
label_89792004,6688,65,2,18
