label,TN,FP,FN,TP
label_10370003,6590,1,22,160
label_106068003,6723,19,7,24
label_111288001,6707,65,0,1
label_11157007,6679,94,0,0
label_111975006,6428,277,37,31
label_13640000,6718,36,16,3
label_164865005,6745,10,15,3
label_164873001,6517,137,49,70
label_164889003,5509,991,17,256
label_164890007,5193,332,95,1153
label_164896001,6762,3,1,7
label_164909002,6682,54,18,19
label_164912004,6680,68,16,9
label_164917005,6547,48,119,59
label_164930006,6421,221,58,73
label_164931005,6745,3,25,0
label_164934002,5209,511,313,740
label_164937009,6693,55,18,7
label_164942001,5797,976,0,0
label_164947007,6760,6,7,0
label_17338001,6581,152,17,23
label_17366009,5390,1382,0,1
label_195042002,6764,0,9,0
label_195060002,6769,3,1,0
label_195101003,5611,1162,0,0
label_233892002,6741,28,2,2
label_233897008,6767,2,4,0
label_233917008,6717,19,31,6
label_251120003,6627,144,0,2
label_251146004,6595,32,128,18
label_251164006,1020,5750,0,3
label_251166008,6750,21,2,0
label_251170000,4903,1861,1,8
label_251173003,5843,929,0,1
label_251180001,6760,13,0,0
label_251187003,2143,4629,0,1
label_251198002,6700,62,3,8
label_251199005,6730,9,32,2
label_251205003,6752,4,15,2
label_251223006,6736,5,27,5
label_270492004,6523,78,50,122
label_27885002,6750,10,12,1
label_284470004,6243,338,113,79
label_29320008,6715,36,11,11
label_365413008,6255,415,26,77
label_39732003,6400,121,100,152
label_418818005,4211,2562,0,0
label_425856008,6757,5,9,2
label_426177001,4155,175,55,2388
label_426183003,6377,394,1,1
label_426627000,6757,14,1,1
label_426648003,6369,400,1,3
label_426664006,5869,901,1,2
label_426761007,6636,29,16,92
label_426783006,5398,134,260,981
label_426995002,6763,1,9,0
label_427084000,5645,86,67,975
label_427172004,6503,115,40,115
label_427393009,5878,522,179,194
label_428417006,6532,186,22,33
label_428750005,6089,510,75,99
label_429622005,6180,324,80,189
label_445118002,6670,48,27,28
label_445211001,6631,140,1,1
label_446358003,6755,11,2,5
label_446813000,6763,7,2,1
label_47665007,6573,71,47,82
label_49578007,6620,152,1,0
label_50799005,6758,11,4,0
label_54016002,6757,11,5,0
label_54329005,6734,31,5,3
label_55827005,5244,725,341,463
label_55930002,5427,693,186,467
label_5609005,6762,3,7,1
label_57054005,6757,2,13,1
label_59118001,6559,124,17,73
label_59931005,6188,121,277,187
label_61277005,6746,24,1,2
label_61721007,6607,77,62,27
label_63593006,3218,3555,0,0
label_6374002,6664,46,38,25
label_65778007,4329,2443,1,0
label_67741000119109,6675,98,0,0
label_67751000119106,6742,28,2,1
label_698252002,6624,30,84,35
label_713422000,6680,48,35,10
label_713426002,6688,43,19,23
label_713427006,6529,99,13,132
label_733534002,6713,17,13,30
label_74390002,6762,4,1,6
label_75532003,6718,48,3,4
label_77867006,6771,0,2,0
label_81898007,6757,4,8,4
label_89792004,6673,80,1,19
