label,TN,FP,FN,TP
label_10370003,6563,28,6,176
label_106068003,6669,73,6,25
label_111288001,6771,1,0,1
label_11157007,6771,2,0,0
label_111975006,6577,128,49,19
label_13640000,6653,101,9,10
label_164865005,6697,58,5,13
label_164873001,6339,315,26,93
label_164889003,5521,979,17,256
label_164890007,5050,475,20,1228
label_164896001,6756,9,0,8
label_164909002,6608,128,9,28
label_164912004,6657,91,17,8
label_164917005,6225,370,26,152
label_164930006,6264,378,36,95
label_164931005,6628,120,18,7
label_164934002,4451,1269,118,935
label_164937009,6674,74,18,7
label_164942001,6773,0,0,0
label_164947007,6716,50,6,1
label_17338001,6632,101,20,20
label_17366009,6765,7,1,0
label_195042002,6718,46,6,3
label_195060002,6770,2,1,0
label_195101003,6773,0,0,0
label_233892002,6755,14,2,2
label_233897008,6753,16,3,1
label_233917008,6578,158,18,19
label_251120003,6771,0,2,0
label_251146004,6210,417,62,84
label_251164006,6770,0,3,0
label_251166008,6750,21,2,0
label_251170000,6739,25,9,0
label_251173003,6772,0,1,0
label_251180001,6770,3,0,0
label_251187003,6750,22,1,0
label_251198002,6730,32,6,5
label_251199005,6661,78,19,15
label_251205003,6674,82,10,7
label_251223006,6626,115,13,19
label_270492004,6411,190,21,151
label_27885002,6710,50,7,6
label_284470004,5824,757,63,129
label_29320008,6683,68,6,16
label_365413008,6204,466,14,89
label_39732003,6198,323,21,231
label_418818005,6773,0,0,0
label_425856008,6734,28,4,7
label_426177001,4132,198,51,2392
label_426183003,6771,0,2,0
label_426627000,6769,2,1,1
label_426648003,6763,6,3,1
label_426664006,6770,0,3,0
label_426761007,6572,93,10,98
label_426783006,5006,526,64,1177
label_426995002,6647,117,5,4
label_427084000,5597,134,38,1004
label_427172004,6450,168,29,126
label_427393009,4593,1807,84,289
label_428417006,6591,127,27,28
label_428750005,5691,908,35,139
label_429622005,5567,937,21,248
label_445118002,6556,162,4,51
label_445211001,6770,1,2,0
label_446358003,6755,11,2,5
label_446813000,6770,0,3,0
label_47665007,6462,182,24,105
label_49578007,6770,2,1,0
label_50799005,6712,57,2,2
label_54016002,6756,12,5,0
label_54329005,6707,58,3,5
label_55827005,3734,2235,69,735
label_55930002,4364,1756,31,622
label_5609005,6746,19,4,4
label_57054005,6735,24,8,6
label_59118001,6459,224,4,86
label_59931005,5024,1285,19,445
label_61277005,6768,2,3,0
label_61721007,6397,287,18,71
label_63593006,6772,1,0,0
label_6374002,6560,150,18,45
label_65778007,6772,0,1,0
label_67741000119109,6773,0,0,0
label_67751000119106,6757,13,3,0
label_698252002,6370,284,40,79
label_713422000,6528,200,23,22
label_713426002,6644,87,16,26
label_713427006,6475,153,4,141
label_733534002,6697,33,4,39
label_74390002,6757,9,1,6
label_75532003,6744,22,4,3
label_77867006,6771,0,2,0
label_81898007,6732,29,0,12
label_89792004,6744,9,8,12
