label,diagnosis_code,diagnosis_name,support,original_f1,new_f1,delta_f1,original_recall,new_recall,delta_recall,original_precision,new_precision,delta_precision,status
label_10370003,10370003,Unknown - Verify,3,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,MAINTAINED
label_106068003,106068003,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_111288001,111288001,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_11157007,11157007,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_111975006,111975006,Prolonged QT Interval,2,0.6667,0.0,-0.6667,0.5,0.0,-0.5,1.0,0.0,-1.0,DEGRADED
label_13640000,13640000,Unknown - Verify,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_164865005,164865005,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_164873001,164873001,Unknown - Verify,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_164889003,164889003,Atrial Fibrillation,2,0.2,0.2105,0.0105,1.0,1.0,0.0,0.1111,0.1176,0.0065,MAINTAINED
label_164890007,164890007,Atrial Flutter,20,0.9268,0.9268,0.0,0.95,0.95,0.0,0.9048,0.9048,0.0,MAINTAINED
label_164896001,164896001,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_164909002,164909002,Left Bundle Branch Block,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_164912004,164912004,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_164917005,164917005,Q Wave Abnormal,4,0.8571,0.8571,0.0,0.75,0.75,0.0,1.0,1.0,0.0,MAINTAINED
label_164930006,164930006,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_164931005,164931005,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_164934002,164934002,T Wave Abnormal,16,0.7692,0.7368,-0.0324,0.9375,0.875,-0.0625,0.6522,0.6364,-0.0158,DEGRADED
label_164937009,164937009,Unknown - Verify,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_164942001,164942001,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_164947007,164947007,Prolonged PR Interval,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_17338001,17338001,Ventricular Premature Beats,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_17366009,17366009,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_195042002,195042002,Unknown - Verify,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_195060002,195060002,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_195101003,195101003,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_233892002,233892002,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_233897008,233897008,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_233917008,233917008,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_251120003,251120003,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_251146004,251146004,Unknown - Verify,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_251164006,251164006,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_251166008,251166008,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_251170000,251170000,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_251173003,251173003,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_251180001,251180001,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_251187003,251187003,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_251198002,251198002,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_251199005,251199005,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_251205003,251205003,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_251223006,251223006,Unknown - Verify,1,0.6667,1.0,0.3333,1.0,1.0,0.0,0.5,1.0,0.5,IMPROVED
label_270492004,270492004,Unknown - Verify,5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,MAINTAINED
label_27885002,27885002,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_284470004,284470004,Premature Atrial Contraction,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_29320008,29320008,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_365413008,365413008,Unknown - Verify,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_39732003,39732003,Left Axis Deviation,4,0.6667,0.6,-0.0667,1.0,0.75,-0.25,0.5,0.5,0.0,DEGRADED
label_418818005,418818005,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_425856008,425856008,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_426177001,426177001,Sinus Bradycardia,41,0.9524,0.9425,-0.0099,0.9756,1.0,0.0244,0.9302,0.8913,-0.0389,MAINTAINED
label_426183003,426183003,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_426627000,426627000,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_426648003,426648003,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_426664006,426664006,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_426761007,426761007,Supraventricular Tachycardia,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_426783006,426783006,Sinus Rhythm,21,0.8571,0.878,0.0209,0.8571,0.8571,0.0,0.8571,0.9,0.0429,IMPROVED
label_426995002,426995002,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_427084000,427084000,Sinus Tachycardia,9,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,MAINTAINED
label_427172004,427172004,Premature Ventricular Contractions,3,0.5,0.5,0.0,0.6667,0.6667,0.0,0.4,0.4,0.0,MAINTAINED
label_427393009,427393009,Sinus Arrhythmia,7,0.4,0.3636,-0.0364,0.2857,0.2857,0.0,0.6667,0.5,-0.1667,DEGRADED
label_428417006,428417006,Unknown - Verify,1,0.0,0.6667,0.6667,0.0,1.0,1.0,0.0,0.5,0.5,IMPROVED
label_428750005,428750005,Unknown - Verify,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_429622005,429622005,Unknown - Verify,2,0.0,0.2222,0.2222,0.0,0.5,0.5,0.0,0.1429,0.1429,IMPROVED
label_445118002,445118002,Unknown - Verify,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_445211001,445211001,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_446358003,446358003,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_446813000,446813000,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_47665007,47665007,Right Axis Deviation,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_49578007,49578007,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_50799005,50799005,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_54016002,54016002,Unknown - Verify,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_54329005,54329005,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
label_55827005,55827005,Unknown - Verify,12,0.4242,0.3704,-0.0539,0.5833,0.4167,-0.1667,0.3333,0.3333,0.0,DEGRADED
label_55930002,55930002,Unknown - Verify,9,0.4545,0.4348,-0.0198,0.5556,0.5556,0.0,0.3846,0.3571,-0.0275,MAINTAINED
label_5609005,5609005,Unknown - Verify,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAINTAINED
